2023-09-16T15:09:02.633+0530 [INFO]  provider: configuring client automatic mTLS
2023-09-16T15:09:02.693+0530 [DEBUG] provider: starting plugin: path=.terraform/providers/registry.terraform.io/hashicorp/aws/5.16.1/windows_amd64/terraform-provider-aws_v5.16.1_x5.exe args=[.terraform/providers/registry.terraform.io/hashicorp/aws/5.16.1/windows_amd64/terraform-provider-aws_v5.16.1_x5.exe]
2023-09-16T15:09:02.717+0530 [DEBUG] provider: plugin started: path=.terraform/providers/registry.terraform.io/hashicorp/aws/5.16.1/windows_amd64/terraform-provider-aws_v5.16.1_x5.exe pid=1556
2023-09-16T15:09:02.717+0530 [DEBUG] provider: waiting for RPC address: path=.terraform/providers/registry.terraform.io/hashicorp/aws/5.16.1/windows_amd64/terraform-provider-aws_v5.16.1_x5.exe
2023-09-16T15:09:03.046+0530 [INFO]  provider.terraform-provider-aws_v5.16.1_x5.exe: configuring server automatic mTLS: timestamp=2023-09-16T15:09:03.044+0530
2023-09-16T15:09:03.104+0530 [DEBUG] provider: using plugin: version=5
2023-09-16T15:09:03.104+0530 [DEBUG] provider.terraform-provider-aws_v5.16.1_x5.exe: plugin address: network=tcp address=127.0.0.1:10000 timestamp=2023-09-16T15:09:03.104+0530
2023-09-16T15:09:03.155+0530 [TRACE] provider.stdio: waiting for stdio data
2023-09-16T15:09:03.157+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Received request: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 @module=sdk.proto tf_proto_version=5.4 tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-go@v0.19.0/tfprotov5/tf5server/server.go:531 timestamp=2023-09-16T15:09:03.157+0530
2023-09-16T15:09:03.157+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Sending request downstream: @module=sdk.proto tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-go@v0.19.0/tfprotov5/internal/tf5serverlogging/downstream_request.go:20 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_proto_version=5.4 timestamp=2023-09-16T15:09:03.157+0530
2023-09-16T15:09:03.157+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: calling downstream server: @module=sdk.mux tf_mux_provider=*schema.GRPCProviderServer tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-mux@v0.12.0/internal/logging/mux.go:19 timestamp=2023-09-16T15:09:03.157+0530
2023-09-16T15:09:03.157+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Getting provider schema: @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:105 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 timestamp=2023-09-16T15:09:03.157+0530
2023-09-16T15:09:03.158+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @module=sdk.helper_schema tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_imagebuilder_distribution_configuration @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.158+0530
2023-09-16T15:09:03.158+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_rpc=GetProviderSchema @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_resource_type=aws_lightsail_bucket_resource_access timestamp=2023-09-16T15:09:03.158+0530
2023-09-16T15:09:03.158+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_appmesh_route tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer timestamp=2023-09-16T15:09:03.158+0530
2023-09-16T15:09:03.159+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_resource_type=aws_guardduty_ipset tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 timestamp=2023-09-16T15:09:03.159+0530
2023-09-16T15:09:03.159+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 @module=sdk.helper_schema tf_resource_type=aws_rds_cluster timestamp=2023-09-16T15:09:03.159+0530
2023-09-16T15:09:03.159+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_resource_type=aws_synthetics_group tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws @module=sdk.helper_schema timestamp=2023-09-16T15:09:03.159+0530
2023-09-16T15:09:03.159+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_waf_sql_injection_match_set tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.159+0530
2023-09-16T15:09:03.159+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_default_security_group tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 timestamp=2023-09-16T15:09:03.159+0530
2023-09-16T15:09:03.159+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_resource_type=aws_alb tf_rpc=GetProviderSchema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 timestamp=2023-09-16T15:09:03.159+0530
2023-09-16T15:09:03.160+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_opsworks_instance tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2023-09-16T15:09:03.159+0530
